ID pokolenia;0;1;2;3;4;5;6;7;8;9
0;41;42;42;43;44;45;45;45;45;45
1;27;27;28;28;28;28;28;29;29;29
2;26;26;26;26;26;27;27;28;28;28
3;26;26;26;26;26;27;27;27;27;27
4;26;26;26;26;26;27;28;28;28;28
5;26;26;26;26;26;27;28;28;29;29
6;26;26;26;26;26;27;27;27;28;28
7;26;26;26;26;27;27;28;28;28;29
8;26;26;26;27;27;27;28;28;28;28
9;26;26;26;26;27;28;28;28;28;29
10;26;26;26;27;27;27;27;27;29;29
11;26;26;27;27;27;27;28;28;28;29
12;26;26;26;26;27;27;27;27;28;29
13;26;26;26;27;27;27;27;28;28;28
14;26;26;26;27;27;27;27;28;28;28
15;26;26;26;27;27;27;27;28;29;29
16;26;26;26;27;27;27;28;28;28;28
17;26;26;26;26;27;27;28;28;28;29
18;26;26;26;27;27;27;27;28;28;29
19;26;26;27;27;27;27;27;28;28;28
20;26;27;27;27;27;27;28;28;29;29
21;26;26;27;27;27;27;28;28;29;29
22;26;26;27;27;27;27;27;28;28;29
23;26;26;26;26;27;27;27;28;29;29
24;26;26;26;27;27;27;28;28;28;29
25;26;26;27;27;27;27;27;27;28;28
26;26;26;27;27;27;27;28;28;28;28
27;26;27;27;27;27;27;28;28;28;29
28;26;26;26;27;27;28;28;29;29;29
29;26;27;27;27;27;27;28;28;29;29
30;26;27;27;27;27;28;28;28;29;30
